movie_id,genre
7462410,"Action, Adventure, Drama"
11126994,"Animation, Action, Adventure"
10160804,"Action, Adventure, Crime"
1267295,"Action, Adventure, Crime"
4513678,"Adventure, Comedy, Fantasy"
11214590,"Crime, Drama"
4236770,"Drama, Western"
8721424,"Biography, Drama, Musical"
7991608,"Action, Adventure, Comedy"
10872600,"Action, Adventure, Sci-Fi"
12235718,"Crime, Drama, Fantasy"
7660850,Drama
1160419,"Action, Adventure, Drama"
9735318,"Documentary, Music"
9376612,"Action, Adventure, Fantasy"
2382320,"Action, Adventure, Thriller"
14164730,"Crime, Drama, Mystery"
9032400,"Action, Adventure, Fantasy"
9639470,"Drama, Horror, Mystery"
9620288,"Biography, Drama, Sport"
7097896,"Action, Adventure, Sci-Fi"
2235759,"Biography, Comedy, Drama"
13655456,"Crime, Drama, Thriller"
6920084,"Action, Horror, Sci-Fi"
2953050,"Animation, Adventure, Comedy"
13659418,"Biography, Drama, Romance"
12536294,"Biography, Drama"
9174558,Drama
10919420,"Action, Drama, Mystery"
0944947,"Action, Adventure, Drama"
0804484,"Drama, Sci-Fi"
15097216,"Crime, Drama"
7335184,"Crime, Drama, Romance"
11041332,"Drama, Horror, Mystery"
0773262,"Crime, Drama, Mystery"
10838180,"Action, Sci-Fi"
10986410,"Comedy, Drama, Sport"
11712058,"Crime, Drama, Thriller"
0870154,"Action, Adventure, Comedy"
7203552,Drama
0436992,"Adventure, Drama, Family"
8310474,"Drama, Sport"
10023286,Drama
10696784,"Action, Drama, Western"
8847712,"Comedy, Drama, Romance"
11212276,Comedy
0098904,Comedy
0087332,"Action, Comedy, Fantasy"
11540284,"Comedy, Family, Fantasy"
0386676,Comedy
4244994,"Action, Drama, History"
8714904,"Crime, Drama"
1520211,"Drama, Horror, Thriller"
0213338,"Animation, Action, Adventure"
6264654,"Action, Adventure, Comedy"
0413573,"Drama, Romance"
13510660,"Crime, Drama, Thriller"
10187208,"Adventure, Drama, Family"
10752004,"Comedy, Romance"
6932244,"Action, Drama"
11337908,Drama
3420504,"Adventure, Drama, Sci-Fi"
7740496,"Action, Crime, Drama"
11286314,"Comedy, Drama, Sci-Fi"
8772296,Drama
11012066,"Action, Comedy, Family"
11649338,"Comedy, Horror"
0264235,Comedy
5180504,"Action, Adventure, Drama"
13024674,"Action, Comedy, Crime"
10293406,"Drama, Romance, Western"
0099785,"Comedy, Family"
2442560,"Crime, Drama"
0141842,"Crime, Drama"
11947248,Drama
0903747,"Crime, Drama, Thriller"
2741602,"Crime, Drama, Mystery"
10574558,"Drama, Fantasy, Horror"
5171438,"Action, Adventure, Drama"
4574334,"Drama, Fantasy, Horror"
6524350,"Animation, Comedy, Romance"
7767422,"Comedy, Drama"
0108778,"Comedy, Romance"
1844624,"Drama, Horror, Thriller"
10478054,"Action, Adventure, Drama"
6048596,"Crime, Drama, Mystery"
8111088,"Action, Adventure, Fantasy"
3107288,"Action, Adventure, Drama"
0087182,"Action, Adventure, Sci-Fi"
8388390,"Horror, Mystery, Thriller"
0364845,"Action, Crime, Drama"
0097958,Comedy
0093748,"Comedy, Drama"
9737326,"Drama, Fantasy, Sci-Fi"
2397461,"Adventure, Comedy, Family"
3007572,"Drama, Fantasy, Horror"
6467266,"Animation, Adventure, Comedy"
3480822,"Action, Adventure, Sci-Fi"
8041270,"Action, Adventure, Sci-Fi"
8912936,"Animation, Action, Adventure"
6226232,Comedy
6334354,"Action, Adventure, Comedy"
11271038,"Comedy, Drama, Romance"
6470478,Drama
6468322,"Action, Crime, Drama"
0460681,"Drama, Fantasy, Horror"
0898266,"Comedy, Romance"
0452046,"Crime, Drama, Mystery"
1219024,"Comedy, Crime, Drama"
3581652,"Crime, Drama, Musical"
0472954,Comedy
0203259,"Crime, Drama, Mystery"
1877830,"Action, Crime, Drama"
11823076,"Documentary, Biography, Crime"
1606375,"Drama, Romance"
2306299,"Action, Adventure, Drama"
0241527,"Adventure, Family, Fantasy"
4052886,"Crime, Drama, Fantasy"
3230854,"Drama, Mystery, Sci-Fi"
0121955,"Animation, Comedy"
1190634,"Action, Crime, Drama"
3006802,"Drama, Fantasy, Romance"
12851524,"Comedy, Crime, Drama"
5420376,"Crime, Drama, Mystery"
12789558,Drama
1442437,"Comedy, Drama, Romance"
2261391,"Action, Drama"
1586680,"Comedy, Drama"
3032476,"Crime, Drama"
10826054,"Animation, Action, Adventure"
2788432,"Biography, Crime, Drama"
2085059,"Drama, Sci-Fi, Thriller"
2396135,"Crime, Drama, Mystery"
10886166,"Drama, Romance"
1270797,"Action, Adventure, Sci-Fi"
7908628,"Comedy, Fantasy, Horror"
3743822,"Drama, Horror, Sci-Fi"
2467372,"Comedy, Crime"
14650074,Comedy
14731142,"Comedy, Drama, Family"
0145487,"Action, Adventure, Sci-Fi"
11640018,"Drama, Mystery, Sci-Fi"
10954652,"Drama, Horror, Mystery"
4786824,"Biography, Drama, History"
0111161,Drama
2560140,"Animation, Action, Adventure"
9140554,"Action, Adventure, Fantasy"
7587890,"Crime, Drama"
0314331,"Comedy, Drama, Romance"
13070602,"Adventure, Comedy, Family"
0306414,"Crime, Drama, Thriller"
0068646,"Crime, Drama"
4154796,"Action, Adventure, Drama"
5071412,"Crime, Drama, Thriller"
1405406,"Drama, Fantasy, Horror"
0096697,"Animation, Comedy"
0133093,"Action, Sci-Fi"
7817340,Drama
1632701,"Comedy, Drama"
3228774,"Adventure, Comedy, Crime"
0388629,"Animation, Action, Adventure"
10944760,"Drama, Horror, Sci-Fi"
0993840,"Action, Crime, Horror"
0460649,"Comedy, Romance"
8103070,"Adventure, Drama, Fantasy"
11628854,"Comedy, Drama, Horror"
10016180,"Crime, Drama, Mystery"
0319343,"Adventure, Comedy, Family"
13430420,"Crime, Drama, Mystery"
5834204,"Drama, Sci-Fi, Thriller"
0238784,"Comedy, Drama"
0457939,"Comedy, Romance"
0475784,"Drama, Mystery, Sci-Fi"
0118401,"Crime, Drama, Mystery"
2861424,"Animation, Adventure, Comedy"
0412142,"Drama, Mystery"
4550098,"Drama, Thriller"
3526078,Comedy
7235466,"Action, Drama, Thriller"
2379713,"Action, Adventure, Thriller"
4179452,"Action, Drama, History"
13491110,"Action, Crime, Drama"
12887536,"Crime, Drama, Mystery"
2356777,"Crime, Drama, Mystery"
3850598,"Biography, Crime, Drama"
2802850,"Crime, Drama, Thriller"
8893974,Drama
10653784,"Drama, Romance"
8946378,"Comedy, Crime, Drama"
0097428,"Action, Comedy, Fantasy"
4158110,"Crime, Drama, Thriller"
10168312,"Animation, Action, Adventure"
6483832,Drama
11379026,"Comedy, Fantasy"
13432484,"Action, Adventure, Drama"
0460627,"Comedy, Crime, Drama"
11794642,"Crime, Drama, Mystery"
0182576,"Animation, Comedy"
2707408,"Biography, Crime, Drama"
4270492,Drama
6473344,"Action, Drama, War"
2250912,"Action, Adventure, Sci-Fi"
13991232,"Drama, Western"
0816692,"Adventure, Drama, Sci-Fi"
7949218,"Action, Drama, Sci-Fi"
4532368,"Action, Adventure, Drama"
0411008,"Adventure, Drama, Fantasy"
11003218,"Drama, Thriller"
0058331,"Comedy, Family, Fantasy"
6856242,"Action, Adventure, Comedy"
1289401,"Action, Comedy, Fantasy"
0948470,"Action, Adventure, Fantasy"
11646832,"Comedy, Crime, Drama"
0032138,"Adventure, Family, Fantasy"
6320628,"Action, Adventure, Sci-Fi"
9421570,"Crime, Drama, Thriller"
0106179,"Crime, Drama, Mystery"
8416494,"Action, Adventure, Comedy"
5555260,"Comedy, Drama, Romance"
11032396,Comedy
9243804,"Adventure, Drama, Fantasy"
4326894,"Animation, Comedy, Drama"
1124373,"Crime, Drama, Thriller"
10986222,Drama
0092455,"Action, Adventure, Mystery"
0381061,"Action, Adventure, Thriller"
0120338,"Drama, Romance"
1312171,"Action, Adventure, Comedy"
1826940,Comedy
3774694,"Drama, Romance"
0108757,"Drama, Romance"
1595859,"Crime, Drama, Mystery"
0104431,"Adventure, Comedy, Crime"
4477976,Comedy
7984766,"Biography, Drama, History"
6823148,"Biography, Drama, History"
2805096,"Action, Crime, Drama"
2049116,"Crime, Drama, Thriller"
1856101,"Action, Drama, Sci-Fi"
8241000,"Animation, Adventure, Comedy"
6751668,"Comedy, Drama, Thriller"
8962124,"Comedy, Drama, Romance"
1439629,Comedy
0095016,"Action, Thriller"
10834220,"Crime, Drama, Mystery"
7131622,"Comedy, Drama"
8760932,"Drama, Mystery, Thriller"
1043813,"Action, Adventure, Crime"
4655480,Drama
10155688,"Crime, Drama, Mystery"
14641648,"Comedy, Crime, Mystery"
5537002,"Crime, Drama, History"
0120737,"Action, Adventure, Drama"
3811906,"Crime, Horror, Mystery"
1872181,"Action, Adventure, Fantasy"
10732104,"Crime, Drama"
9811316,"Animation, Action, Adventure"
13668894,"Action, Adventure, Sci-Fi"
0413300,"Action, Adventure, Sci-Fi"
9620292,"Crime, Drama, Mystery"
0491738,"Comedy, Crime, Mystery"
13406094,"Comedy, Drama"
9817298,Reality-TV
6723592,"Action, Sci-Fi, Thriller"
4016454,"Action, Adventure, Drama"
5433138,"Action, Crime, Thriller"
9140560,"Action, Comedy, Drama"
10148174,"Drama, Horror, Sci-Fi"
10687506,"Biography, Drama, History"
0247082,"Crime, Drama, Mystery"
1378167,"Action, Crime, Drama"
0086066,"Crime, Drama"
3322312,"Action, Crime, Drama"
10048342,Drama
7366338,"Drama, History, Thriller"
10231312,"Animation, Comedy, Fantasy"
13103340,Comedy
2661044,"Drama, Mystery, Sci-Fi"
0111070,"Comedy, Drama, Family"
7491982,"Action, Crime, Drama"
0361748,"Adventure, Drama, War"
7975244,"Action, Adventure, Comedy"
0316654,"Action, Adventure, Sci-Fi"
8110232,"Crime, Drama"
0468569,"Action, Crime, Drama"
0098844,"Crime, Drama, Mystery"
0294870,"Drama, Musical, Romance"
0993846,"Biography, Comedy, Crime"
7286456,"Crime, Drama, Thriller"
7144666,Horror
0170016,"Comedy, Family, Fantasy"
0369179,"Comedy, Romance"
1386697,"Action, Adventure, Fantasy"
13069986,"Drama, Romance"
5753856,"Crime, Drama, Mystery"
6111130,"Action, Adventure, Crime"
2934286,"Action, Adventure, Sci-Fi"
7942796,"Action, Adventure, Crime"
9335498,"Animation, Action, Adventure"
1475582,"Crime, Drama, Mystery"
1266020,Comedy
0185906,"Drama, History, War"
3281548,"Drama, Romance"
8518136,"Biography, Comedy, Drama"
0159206,"Comedy, Drama, Romance"
0414387,"Drama, Romance"
1561755,"Animation, Comedy"
0275277,"Animation, Action, Crime"
0804503,Drama
8106534,"Action, Thriller"
7888964,"Action, Crime, Drama"
1983079,"Drama, History"
8772262,"Drama, Horror, Mystery"
8740790,"Drama, Romance"
0110912,"Crime, Drama"
1532495,"Crime, Drama"
4154756,"Action, Adventure, Sci-Fi"
10665338,"Horror, Thriller"
12361974,"Action, Adventure, Fantasy"
0758745,"Drama, Sport"
5606664,"Drama, Fantasy, Horror"
12861212,"Drama, Horror, Thriller"
6128300,Drama
11242246,"Action, Crime, Drama"
0118276,"Action, Drama, Fantasy"
1375666,"Action, Adventure, Sci-Fi"
6831266,Drama
4687880,Drama
7740510,"Drama, Horror, Mystery"
1074638,"Action, Adventure, Thriller"
0072562,"Comedy, Music"
8579674,"Action, Drama, War"
15565510,Romance
0172495,"Action, Adventure, Drama"
0085334,"Comedy, Family"
10739666,"Action, Crime, Drama"
1201607,"Adventure, Fantasy, Mystery"
7053188,"Action, Drama, Romance"
1431045,"Action, Adventure, Comedy"
11083552,"Action, Crime, Thriller"
0137523,Drama
2267998,"Drama, Mystery, Thriller"
10380768,"Comedy, Romance"
10569922,"Comedy, Romance"
5232792,"Adventure, Drama, Family"
0455275,"Action, Crime, Drama"
1796960,"Crime, Drama, Mystery"
0116705,"Adventure, Comedy, Family"
4633694,"Animation, Action, Adventure"
6763664,"Drama, Horror, Mystery"
1843230,"Adventure, Fantasy, Romance"
2403776,"Action, Adventure, Drama"
0330373,"Adventure, Family, Fantasy"
15398776,"Biography, Drama, History"
1485796,"Biography, Drama, Musical"
7221388,"Action, Comedy, Drama"
1648179,"Action, Comedy, Sport"
3470600,"Animation, Comedy, Family"
5788792,"Comedy, Drama"
6217926,"Drama, Musical, Romance"
15943510,Romance
1392170,"Action, Adventure, Sci-Fi"
0093779,"Adventure, Family, Fantasy"
15226096,"Comedy, Family, Fantasy"
10696896,"Crime, Drama, Thriller"
8623904,"Comedy, Drama, Fantasy"
0113277,"Action, Crime, Drama"
1466074,"Crime, Drama, Mystery"
0397442,"Drama, Romance"
12731980,"Thriller, Western"
1853728,"Drama, Western"
13265876,"Action, Thriller"
10888878,"Crime, Drama, Mystery"
7126948,"Action, Adventure, Fantasy"
8369840,"Adventure, Drama, Mystery"
8712204,"Action, Adventure, Crime"
2193021,"Action, Adventure, Crime"
2584384,"Comedy, Drama, War"
12940504,"Action, Crime, Drama"
3398228,"Animation, Comedy, Drama"
15499118,Drama
13899566,"Action, Crime, Drama"
5290382,"Crime, Drama, Thriller"
11892272,"Action, Adventure, Crime"
5362988,"Crime, Drama, Mystery"
4196776,"Action, Thriller"
0110413,"Action, Crime, Drama"
3747572,"Crime, Drama, Mystery"
5057054,"Action, Drama, Thriller"
1745960,"Action, Drama"
1094229,"Drama, Family"
13694628,Thriller
5463162,"Action, Adventure, Comedy"
2632424,"Drama, Fantasy, Horror"
7772602,"Action, Crime, Horror"
0144084,"Crime, Drama, Horror"
9347730,"Horror, Thriller"
9208876,"Action, Adventure, Drama"
3104988,"Comedy, Drama, Romance"
1321510,"Drama, Musical, Romance"
8367814,"Action, Comedy, Crime"
9359796,"Animation, Action, Crime"
2709692,"Animation, Adventure, Comedy"
7456310,"Action, Thriller"
0107290,"Action, Adventure, Sci-Fi"
2712740,Comedy
0338348,"Animation, Adventure, Comedy"
9866072,"Comedy, Romance"
6741278,"Animation, Action, Adventure"
1856010,Drama
0085995,"Adventure, Comedy"
0293429,"Action, Adventure, Fantasy"
2660806,"Comedy, Drama, Romance"
9812474,"Drama, Horror, Mystery"
9531772,"Action, Crime, Thriller"
4881806,"Action, Adventure, Sci-Fi"
3749900,"Action, Crime, Drama"
1600194,"Action, Crime, Drama"
0417299,"Animation, Action, Adventure"
1489889,"Action, Comedy, Crime"
2322441,"Drama, Romance, Thriller"
0088763,"Adventure, Comedy, Sci-Fi"
11127680,"Drama, Thriller"
2701582,"Crime, Drama, Mystery"
3291150,"Action, Adventure, Thriller"
2015381,"Action, Adventure, Comedy"
9777666,"Action, Adventure, Drama"
0117913,"Crime, Drama, Thriller"
5607976,"Adventure, Drama, Family"
0120689,"Crime, Drama, Fantasy"
0106145,"Action, Adventure, Drama"
1727824,"Biography, Drama, Music"
8421350,"Drama, Mystery, Sci-Fi"
2364582,"Action, Adventure, Drama"
12682218,Drama
0109830,"Drama, Romance"
0844441,"Drama, Fantasy, Mystery"
2433738,"Crime, Drama"
0790724,"Action, Thriller"
2543164,"Drama, Sci-Fi"
0078788,"Drama, Mystery, War"
10223460,"Comedy, Music, Romance"
4154664,"Action, Adventure, Sci-Fi"
1605630,Comedy
2283362,"Action, Adventure, Comedy"
10738906,"Drama, Horror, Mystery"
0106677,Comedy
11403434,"Crime, Drama, Thriller"
0083658,"Action, Drama, Sci-Fi"
12383460,"Drama, Horror, Mystery"
0367279,Comedy
0304141,"Adventure, Family, Fantasy"
3272066,"Mystery, Romance, Sci-Fi"
0108052,"Biography, Drama, History"
2372162,"Comedy, Crime, Drama"
6654210,"Action, Sci-Fi, Thriller"
7016936,"Action, Adventure, Drama"
3502248,"Crime, Drama"
7608248,"Comedy, Drama, Romance"
0103874,"Drama, Fantasy, Horror"
0068098,"Comedy, Drama, War"
1392214,"Crime, Drama, Mystery"
9285882,"Crime, Drama, Musical"
0114369,"Crime, Drama, Mystery"
8385148,"Action, Comedy, Crime"
5109280,"Animation, Action, Adventure"
0099685,"Biography, Crime, Drama"
8244784,"Action, Horror, Thriller"
1232829,"Action, Comedy, Crime"
12801262,"Animation, Adventure, Comedy"
0118480,"Action, Adventure, Drama"
10521092,"Drama, War"
0047736,Western
0050051,"Crime, Drama, Mystery"
0285403,"Comedy, Drama"
11245972,"Horror, Mystery, Thriller"
0047673,"Comedy, Musical, Romance"
5726616,"Drama, Romance"
8337158,"Animation, Comedy, Family"
15766640,Romance
10648342,"Action, Adventure, Fantasy"
0038650,"Drama, Family, Fantasy"
0410975,"Comedy, Drama, Mystery"
8332922,"Drama, Horror, Sci-Fi"
0830515,"Action, Adventure, Thriller"
0078748,"Horror, Sci-Fi"
1327801,"Comedy, Drama, Music"
1130884,"Mystery, Thriller"
1578873,"Drama, Mystery, Romance"
14405338,"Horror, Mystery, Thriller"
0071562,"Crime, Drama"
0055614,"Crime, Drama, Musical"
5675620,"Action, Crime, Drama"
7631058,"Action, Adventure, Drama"
13064634,"Drama, History, Thriller"
1888075,"Comedy, Crime, Drama"
4729430,"Animation, Adventure, Comedy"
14168118,"Crime, Drama"
0295297,"Adventure, Family, Fantasy"
10795658,"Action, Drama, Mystery"
0106004,Comedy
8954732,"Comedy, Drama, Family"
11233960,Drama
15420960,"Drama, Romance"
0461770,"Animation, Adventure, Comedy"
0163651,Comedy
1392190,"Action, Adventure, Sci-Fi"
8594324,"Comedy, Fantasy"
3215824,"Action, Crime, Drama"
0034583,"Drama, Romance, War"
9731534,"Horror, Mystery, Thriller"
0369436,"Comedy, Drama, Romance"
9115530,"Biography, Drama, History"
7772588,"Drama, Sci-Fi"
1677720,"Action, Adventure, Sci-Fi"
7713068,"Action, Adventure, Comedy"
10272386,"Drama, Mystery"
