movie_id,genre
0107843,"Action, Crime, Drama"
11450050,"Crime, Drama, Thriller"
0032599,"Comedy, Drama, Romance"
0442833,"Musical, Short"
0318462,"Adventure, Biography, Drama"
0089374,"Action, Comedy, Crime"
15122138,"Crime, Drama, History"
5515212,"Animation, Action, Adventure"
16152436,Biography
0282209,"Fantasy, Horror, Mystery"
0262153,"Animation, Comedy, Drama"
0968264,"Crime, Drama, History"
0102915,"Action, Comedy, Crime"
3703908,"Drama, Thriller"
0123948,"Crime, Horror, Mystery"
6897772,"Adventure, Comedy, Family"
4592410,"Drama, Music, Musical"
0113819,"Comedy, Fantasy, Romance"
0414853,"Animation, Adventure, Comedy"
0112625,"Horror, Thriller"
5262792,"Drama, Musical, Romance"
1316037,"Horror, Thriller"
9430698,"Animation, Action, Adventure"
0062589,"Action, Crime, Drama"
0073747,"Horror, Mystery, Sci-Fi"
0300051,"Comedy, Drama, Romance"
15677070,Documentary
14363574,Comedy
0081070,"Crime, Drama, Mystery"
0109770,"Action, Adventure, Family"
0092605,"Comedy, Drama, Romance"
13267034,"Drama, Romance"
0091828,"Action, Crime, Thriller"
0069495,Comedy
10151054,"Crime, Mystery, Thriller"
0102536,"Comedy, Drama"
5194726,"Action, Sci-Fi"
0051744,"Crime, Horror, Mystery"
0367085,Comedy
2103264,"Drama, History, War"
2578508,Comedy
8717446,Drama
1740707,"Drama, Fantasy, Horror"
6136644,"Crime, Drama, Thriller"
4712810,"Crime, Thriller"
0046906,Western
10767052,"Comedy, Drama, Sport"
1578275,"Comedy, Drama"
11307724,"Drama, Thriller"
0062138,"Crime, Drama, Thriller"
0114663,"Drama, Family, Fantasy"
0271308,"Adventure, Drama, Family"
8236556,"Drama, Romance, Sci-Fi"
0178868,"Horror, Mystery"
0123987,"Comedy, Family"
2103254,"Comedy, Romance"
3610576,"Drama, Thriller"
0267626,"Drama, History, Thriller"
1610996,"Drama, Horror, Mystery"
0118073,Comedy
0063991,"Biography, Comedy, Drama"
0067525,"Action, Drama, Sci-Fi"
4481066,Drama
14479078,Thriller
1807859,"Animation, Adventure, Comedy"
0245238,"Drama, Romance"
5478534,"Action, Thriller"
5332206,"Crime, Drama, Fantasy"
0057261,"Adventure, Drama, Thriller"
6302164,"Horror, Thriller"
8058874,"Horror, Music, Thriller"
0036342,"Film-Noir, Thriller"
