movie_id,user_id,rating
tt0348568,ur5291991,10
tttt0348568,ur22484170,7
tttttt0348568,ur22171966,7
tttttttt0348568,ur2904674,6
tttttttttt0348568,ur0354849,10
tttttttttttt0348568,ur18279193,8
tttttttttttttt0348568,ur0292957,8
tttttttttttttttt0348568,ur114776790,8
tttttttttttttttttt0348568,ur103468838,9
tttttttttttttttttttt0348568,ur0018687,6
tttttttttttttttttttttt0348568,ur1631168,6
tttttttttttttttttttttttt0348568,ur4685798,10
tttttttttttttttttttttttttt0348568,ur84446824,9
tttttttttttttttttttttttttttt0348568,ur5176902,10
tttttttttttttttttttttttttttttt0348568,ur0810645,10
tttttttttttttttttttttttttttttttt0348568,ur1095164,3
tttttttttttttttttttttttttttttttttt0348568,ur19443817,10
tttttttttttttttttttttttttttttttttttt0348568,ur100648351,10
tttttttttttttttttttttttttttttttttttttt0348568,ur120299054,9
tttttttttttttttttttttttttttttttttttttttt0348568,ur13371606,10
tttttttttttttttttttttttttttttttttttttttttt0348568,ur3460751,4
tttttttttttttttttttttttttttttttttttttttttttt0348568,ur3017062,10
tttttttttttttttttttttttttttttttttttttttttttttt0348568,ur23760739,9
tt13198632,ur13977076,9
tttt13198632,ur130195767,8
tttttt13198632,ur105856169,9
tttttttt13198632,ur126911477,6
tttttttttt13198632,ur121054481,9
tttttttttttt13198632,ur129858892,10
tttttttttttttt13198632,ur135957227,10
tttttttttttttttt13198632,ur45356324,9
tttttttttttttttttt13198632,ur90081345,10
tttttttttttttttttttt13198632,ur88580844,9
tttttttttttttttttttttt13198632,ur125966749,10
tttttttttttttttttttttttt13198632,ur125966749,10
tttttttttttttttttttttttttt13198632,ur130905878,10
tttttttttttttttttttttttttttt13198632,ur57301154,9
tttttttttttttttttttttttttttttt13198632,ur124564443,9
tttttttttttttttttttttttttttttttt13198632,ur127637353,10
tttttttttttttttttttttttttttttttttt13198632,ur128919378,10
tt0037674,ur2467618,8
tttt0037674,ur2898520,6
tttttt0037674,ur2707735,8
tttttttt0037674,ur1234929,8
tttttttttt0037674,ur4248714,8
tttttttttttt0037674,ur0819382,5
tttttttttttttt0037674,ur1219578,10
tttttttttttttttt0037674,ur0342623,10
tttttttttttttttttt0037674,ur2171244,9
tttttttttttttttttttt0037674,ur2860723,4
tttttttttttttttttttttt0037674,ur1416505,9
tttttttttttttttttttttttt0037674,ur4532636,8
tttttttttttttttttttttttttt0037674,ur5424352,10
tttttttttttttttttttttttttttt0037674,ur89333699,5
tttttttttttttttttttttttttttttt0037674,ur4234119,10
tttttttttttttttttttttttttttttttt0037674,ur66111139,9
tttttttttttttttttttttttttttttttttt0037674,ur2590596,7
tttttttttttttttttttttttttttttttttttt0037674,ur33907744,6
tttttttttttttttttttttttttttttttttttttt0037674,ur50463365,6
tttttttttttttttttttttttttttttttttttttttt0037674,ur0178741,10
tttttttttttttttttttttttttttttttttttttttttt0037674,ur55157303,7
tt2369396,ur77881167,7
tttt2369396,ur5876717,7
tttttt2369396,ur0945066,4
tttttttt2369396,ur22654354,6
tttttttttt2369396,ur50489624,7
tttttttttttt2369396,ur12844960,8
tttttttttttttt2369396,ur58525162,5
tttttttttttttttt2369396,ur3109237,8
tttttttttttttttttt2369396,ur6305926,6
tttttttttttttttttttt2369396,ur24390444,1
tttttttttttttttttttttt2369396,ur14630819,7
tttttttttttttttttttttttt2369396,ur16650558,7
tttttttttttttttttttttttttt2369396,ur15375264,6
tttttttttttttttttttttttttttt2369396,ur60189604,7
tttttttttttttttttttttttttttttt2369396,ur1598260,4
tttttttttttttttttttttttttttttttt2369396,ur102184407,8
tttttttttttttttttttttttttttttttttt2369396,ur26030604,8
tttttttttttttttttttttttttttttttttttt2369396,ur3886859,7
tttttttttttttttttttttttttttttttttttttt2369396,ur0311101,8
tttttttttttttttttttttttttttttttttttttttt2369396,ur13126380,5
tttttttttttttttttttttttttttttttttttttttttt2369396,ur96577864,8
tttttttttttttttttttttttttttttttttttttttttttt2369396,ur43995972,5
tttttttttttttttttttttttttttttttttttttttttttttt2369396,ur21641070,8
tttttttttttttttttttttttttttttttttttttttttttttttt2369396,ur24185280,4
tttttttttttttttttttttttttttttttttttttttttttttttttt2369396,ur49569585,6
tt0805559,ur2483625,7
tttt0805559,ur71305899,5
tttttt0805559,ur4294858,7
tttttttt0805559,ur112380085,7
tttttttttt0805559,ur73482986,8
tttttttttttt0805559,ur15513239,7
tttttttttttttt0805559,ur1836449,6
tttttttttttttttt0805559,ur97242161,7
tttttttttttttttttt0805559,ur33120347,9
tttttttttttttttttttt0805559,ur26551606,8
tttttttttttttttttttttt0805559,ur6766216,10
tttttttttttttttttttttttt0805559,ur11688329,6
tttttttttttttttttttttttttt0805559,ur13804183,8
tttttttttttttttttttttttttttt0805559,ur10859906,10
tttttttttttttttttttttttttttttt0805559,ur14048604,10
tttttttttttttttttttttttttttttttt0805559,ur17740335,8
tttttttttttttttttttttttttttttttttt0805559,ur19579441,4
tttttttttttttttttttttttttttttttttttt0805559,ur55828638,10
tttttttttttttttttttttttttttttttttttttt0805559,ur10305278,10
tttttttttttttttttttttttttttttttttttttttt0805559,ur13488178,10
tttttttttttttttttttttttttttttttttttttttttt0805559,ur13797242,8
tttttttttttttttttttttttttttttttttttttttttttt0805559,ur13838286,9
tttttttttttttttttttttttttttttttttttttttttttttt0805559,ur14093254,10
tttttttttttttttttttttttttttttttttttttttttttttttt0805559,ur14277484,10
tttttttttttttttttttttttttttttttttttttttttttttttttt0805559,ur14748235,8
tt0324864,ur2488512,6
tttt0324864,ur3836774,9
tttttt0324864,ur53732923,10
tttttttt0324864,ur4701442,7
tttttttttt0324864,ur9126893,3
tttttttttttt0324864,ur0749363,6
tttttttttttttt0324864,ur11377559,5
tttttttttttttttt0324864,ur21696533,2
tttttttttttttttttt0324864,ur64317889,1
tttttttttttttttttttt0324864,ur85426954,10
tttttttttttttttttttttt0324864,ur68710383,9
tttttttttttttttttttttttt0324864,ur4784885,8
tttttttttttttttttttttttttt0324864,ur46764714,3
tttttttttttttttttttttttttttt0324864,ur12690203,2
tttttttttttttttttttttttttttttt0324864,ur11655057,2
tttttttttttttttttttttttttttttttt0324864,ur1281264,5
tt0084133,ur2488512,5
tttt0084133,ur8239592,8
tttttt0084133,ur0945066,5
tttttttt0084133,ur69172350,5
tttttttttt0084133,ur2020269,4
tttttttttttt0084133,ur28159509,6
tttttttttttttt0084133,ur1355507,2
tttttttttttttttt0084133,ur1111192,4
tttttttttttttttttt0084133,ur0865972,6
tttttttttttttttttttt0084133,ur0386241,4
tttttttttttttttttttttt0084133,ur3071695,5
tttttttttttttttttttttttt0084133,ur2154134,8
tttttttttttttttttttttttttt0084133,ur3588397,8
tttttttttttttttttttttttttttt0084133,ur2951437,3
tttttttttttttttttttttttttttttt0084133,ur1193248,1
tttttttttttttttttttttttttttttttt0084133,ur9516916,7
tttttttttttttttttttttttttttttttttt0084133,ur0556157,2
tttttttttttttttttttttttttttttttttttt0084133,ur0355122,7
tttttttttttttttttttttttttttttttttttttt0084133,ur4145056,8
tttttttttttttttttttttttttttttttttttttttt0084133,ur5750535,8
tttttttttttttttttttttttttttttttttttttttttt0084133,ur7664294,5
tttttttttttttttttttttttttttttttttttttttttttt0084133,ur0708885,1
tt2212008,ur2467618,3
tttt2212008,ur77881167,7
tttttt2212008,ur5876717,6
tttttttt2212008,ur2707735,7
tttttttttt2212008,ur0449021,5
tttttttttttt2212008,ur33374263,6
tttttttttttttt2212008,ur58525162,5
tttttttttttttttt2212008,ur23018536,6
tttttttttttttttttt2212008,ur0972645,8
tttttttttttttttttttt2212008,ur20327151,5
tttttttttttttttttttttt2212008,ur19892892,7
tttttttttttttttttttttttt2212008,ur8462477,4
tttttttttttttttttttttttttt2212008,ur28260582,3
tttttttttttttttttttttttttttt2212008,ur84924605,7
tttttttttttttttttttttttttttttt2212008,ur4915915,3
tttttttttttttttttttttttttttttttt2212008,ur35725947,5
tttttttttttttttttttttttttttttttttt2212008,ur36422659,4
tttttttttttttttttttttttttttttttttttt2212008,ur15857362,7
tttttttttttttttttttttttttttttttttttttt2212008,ur62997628,5
tttttttttttttttttttttttttttttttttttttttt2212008,ur60189604,3
tttttttttttttttttttttttttttttttttttttttttt2212008,ur24340247,4
tttttttttttttttttttttttttttttttttttttttttttt2212008,ur22563365,3
tttttttttttttttttttttttttttttttttttttttttttttt2212008,ur47382469,8
tttttttttttttttttttttttttttttttttttttttttttttttt2212008,ur2306546,6
tt11684368,ur15311310,7
tttt11684368,ur23359813,2
tttttt11684368,ur66711472,1
tttttttt11684368,ur4234301,7
tttttttttt11684368,ur46356078,3
tttttttttttt11684368,ur4580541,5
tttttttttttttt11684368,ur46598033,9
tttttttttttttttt11684368,ur28183897,1
tttttttttttttttttt11684368,ur70356710,5
tttttttttttttttttttt11684368,ur29906988,3
tttttttttttttttttttttt11684368,ur109568640,2
tttttttttttttttttttttttt11684368,ur83116671,6
tttttttttttttttttttttttttt11684368,ur132021923,4
tttttttttttttttttttttttttttt11684368,ur126738226,6
tttttttttttttttttttttttttttttt11684368,ur53609890,2
tttttttttttttttttttttttttttttttt11684368,ur7486506,8
tttttttttttttttttttttttttttttttttt11684368,ur2068387,1
tttttttttttttttttttttttttttttttttttt11684368,ur100300938,4
tttttttttttttttttttttttttttttttttttttt11684368,ur46915230,1
tttttttttttttttttttttttttttttttttttttttt11684368,ur70546994,1
tttttttttttttttttttttttttttttttttttttttttt11684368,ur76725975,2
tttttttttttttttttttttttttttttttttttttttttttt11684368,ur109262392,8
tttttttttttttttttttttttttttttttttttttttttttttt11684368,ur48720066,1
tttttttttttttttttttttttttttttttttttttttttttttttt11684368,ur5965598,1
tttttttttttttttttttttttttttttttttttttttttttttttttt11684368,ur118979063,1
tt3012160,ur0033913,9
tttt3012160,ur6981752,7
tttttt3012160,ur1931604,9
tttttttt3012160,ur50296294,9
tttttttttt3012160,ur2655139,8
tttttttttttt3012160,ur11701403,8
tttttttttttttt3012160,ur33279808,6
tttttttttttttttt3012160,ur99455140,6
tttttttttttttttttt3012160,ur10028412,8
tttttttttttttttttttt3012160,ur49742563,7
tttttttttttttttttttttt3012160,ur66306211,8
tttttttttttttttttttttttt3012160,ur36738852,10
tttttttttttttttttttttttttt3012160,ur125663906,9
tttttttttttttttttttttttttttt3012160,ur62118896,2
tttttttttttttttttttttttttttttt3012160,ur12701951,5
tttttttttttttttttttttttttttttttt3012160,ur31342327,10
tttttttttttttttttttttttttttttttttt3012160,ur62833398,9
tttttttttttttttttttttttttttttttttttt3012160,ur56064216,2
tttttttttttttttttttttttttttttttttttttt3012160,ur28668087,7
tttttttttttttttttttttttttttttttttttttttt3012160,ur119035553,10
tttttttttttttttttttttttttttttttttttttttttt3012160,ur41725267,10
tttttttttttttttttttttttttttttttttttttttttttt3012160,ur3935590,9
tttttttttttttttttttttttttttttttttttttttttttttt3012160,ur19236677,8
tttttttttttttttttttttttttttttttttttttttttttttttt3012160,ur32942684,4
tttttttttttttttttttttttttttttttttttttttttttttttttt3012160,ur33389628,10
tt0130121,ur2467618,2
tttt0130121,ur2898520,6
tttttt0130121,ur4248714,4
tttttttt0130121,ur4445210,7
tttttttttt0130121,ur16161013,6
tttttttttttt0130121,ur2171244,7
tttttttttttttt0130121,ur2079400,2
tttttttttttttttt0130121,ur2093818,6
tttttttttttttttttt0130121,ur60028700,2
tttttttttttttttttttt0130121,ur4409266,7
tttttttttttttttttttttt0130121,ur3280905,10
tttttttttttttttttttttttt0130121,ur2444068,7
tttttttttttttttttttttttttt0130121,ur84924605,7
tttttttttttttttttttttttttttt0130121,ur0562732,5
tttttttttttttttttttttttttttttt0130121,ur0543054,7
tttttttttttttttttttttttttttttttt0130121,ur7850750,1
tttttttttttttttttttttttttttttttttt0130121,ur6663090,1
tttttttttttttttttttttttttttttttttttt0130121,ur21404273,6
tttttttttttttttttttttttttttttttttttttt0130121,ur3174947,7
tttttttttttttttttttttttttttttttttttttttt0130121,ur0355122,5
tt1792131,ur2326544,7
tttt1792131,ur82659907,1
tttttt1792131,ur3013458,5
tttttttt1792131,ur26955347,5
tttttttttt1792131,ur3026611,8
tttttttttttt1792131,ur136082362,1
tttttttttttttt1792131,ur6316165,1
tttttttttttttttt1792131,ur86616474,8
tttttttttttttttttt1792131,ur100011298,10
tttttttttttttttttttt1792131,ur72958515,2
